|             Name|  SpT|  Dist|      Mstar|    e_Mstar|   Flux|ObsWave| Det|    MDust|e_MDust|
|             char| char|double|      float|      float|  float| double|long|   double| double|
|                 |     |      |           |           |    mJy|       |    |         |       |
|             null| null|  null|       null|       null|   null|   null|null|     null|   null|
 J10533978-7712338 M2.75  160.0  0.38904515  0.07780904    4.60   887.0    1   1.21991 0.20951 
 J10555973-7724399    M0  160.0  0.74131024  0.08540441   34.10   887.0    1   9.04321 0.35006 
 J10561638-7630530  M5.6  160.0 0.109647825 0.017685132    3.99   887.0    1   1.05814 0.04243 
 J10563044-7711393  M0.5  160.0  0.85113806   0.3333951  117.58   887.0    1  31.18185 0.29172 
 J10574219-7659356 M3.25  160.0   0.3019952  0.03479207    9.12   887.0    1    2.4186 0.22011 
 J10580597-7711501 M5.25  160.0 0.109647825 0.025264466    2.68   887.0    1   0.71073 0.04243 
 J10581677-7717170    K0  160.0   1.2589254     0.11603  310.18   887.0    1  82.25876  0.2652 
 J10590108-7722407    K2  160.0  0.85113806   0.3039779   65.34   887.0    1  17.32796 0.45083 
 J10590699-7701404    K2  160.0   1.6982436  0.19565018  442.18   887.0    1 117.26474 0.20155 
 J11004022-7619280 M3.75  160.0  0.23988329  0.04145448   69.75   887.0    1  18.49748 0.04508 
 J11022491-7733357    K6  160.0   1.3489629  0.17095152  225.68   887.0    1  59.84962 0.19625 
 J11023265-7729129    M3  160.0   0.3019952 0.045229696   -0.21   887.0    0  -0.05569 0.21746 
 J11025504-7721508  M4.5  160.0  0.18197007  0.11530363    1.16   887.0    1   0.30763 0.04243 
 J11040425-7639328 M4.25  160.0  0.18197007 0.037735734    2.77   887.0    1    0.7346 0.04243 
 J11040909-7627193    K5  160.0   0.8709636  0.20068285  104.78   887.0    1  27.78733 0.15912 
 J11044258-7741571    M4  160.0  0.23988329  0.04145448    4.15   887.0    1   1.10057 0.04243 
 J11045701-7715569    M3  160.0  0.29512095 0.040800124    2.54   887.0    1    0.6736 0.21481 
 J11062554-7633418 M5.25  160.0  0.12302687 0.028347205   46.05   887.0    1  12.21231 0.03978 
 J11063945-7736052 M5.25  160.0   0.1659587 0.033191733    0.37   887.0    0   0.09812 0.04243 
 J11064180-7635489  M4.5  160.0   0.1659587   0.0344154    0.97   887.0    1   0.25724 0.04243 
 J11064510-7727023    K6  160.0   0.9332543   0.3440569    0.53   887.0    0   0.14055 0.21746 
 J11065906-7718535 M4.25  160.0  0.19498447 0.038996886   24.28   887.0    1   6.43898 0.09282 
 J11065939-7530559 M5.25  160.0 0.107151926  0.02468939    3.11   887.0    1   0.82476 0.04243 
 J11070925-7718471    M3  160.0   0.3019952 0.045229696    0.06   887.0    0   0.01591 0.21746 
 J11071181-7625501 M5.25  160.0 0.107151926  0.02468939    0.03   887.0    0   0.00796 0.04243 
 J11071206-7632232  M0.5  160.0  0.58884364  0.14924608    4.23   887.0    1   1.12178 0.21481 
 J11071330-7743498  M3.5  160.0  0.23442288 0.043211583    0.42   887.0    0   0.11138 0.21481 
 J11071860-7732516  M5.5  160.0 0.120226435 0.027701942    0.93   887.0    1   0.24663 0.04243 
 J11072074-7738073    G2  160.0   1.9498446   0.7413004   26.36   887.0    1   6.99059 0.38719 
 J11072825-7652118    M3  160.0  0.29512095 0.040800124    1.50   887.0    0    0.3978 0.21481 
 J11074245-7733593 M5.25  160.0  0.13182567 0.031893313    2.37   887.0    1   0.62852 0.10873 
 J11074366-7739411    M0  160.0  0.48977882  0.13542272  107.27   887.0    1  28.44767 0.14851 
 J11075730-7717262 M1.25  160.0  0.48977882  0.14106533    6.47   887.0    1   1.71582 0.21216 
 J11075792-7738449    K6  160.0   0.9772372  0.32649633   19.85   887.0    1   5.26416 0.39249 
 J11075809-7742413  M2.5  160.0  0.30902955  0.04984347    6.45   887.0    1   1.71052 0.20951 
 J11080002-7717304    K8  160.0  0.66069347   0.1598452   -0.69   887.0    0  -0.18299 0.21216 
 J11080148-7742288    K8  160.0  0.63095737   0.1381128   44.37   887.0    1  11.76678 0.21746 
 J11080297-7738425 M1.25  160.0  0.63095737   0.2398801  102.24   887.0    1  27.11373 0.15381 
 J11081509-7733531    G7  160.0   1.3182567 0.121498324  209.29   887.0    1  55.50305 0.11403 
 J11082238-7730277    M5  160.0  0.12589255   0.0290075    0.23   887.0    0     0.061 0.04243 
 J11082650-7715550 M5.75  160.0 0.109647825 0.025264466   -0.24   887.0    0  -0.06365 0.04243 
 J11083905-7716042    K8  160.0   0.8317638   0.2970585   14.11   887.0    1   3.74193 0.20951 
 J11083952-7734166 M5.75  160.0   0.1023293 0.016504718    0.02   887.0    0    0.0053 0.04243 
 J11085090-7625135 M5.25  160.0  0.12589255   0.0290075   -0.04   887.0    0  -0.01061 0.04243 
 J11085367-7521359  M1.5  160.0  0.52480745  0.13906188   24.60   887.0    1   6.52384 0.36332 
 J11085464-7702129  M0.5  160.0  0.66069347  0.24357364    3.90   887.0    1   1.03427 0.20951 
 J11085497-7632410  M5.5  160.0  0.12302687 0.026929846    0.46   887.0    0   0.12199 0.04243 
 J11091812-7630292 M1.25  160.0  0.66069347   0.1598452    1.30   887.0    0   0.34476 0.20951 
 J11092266-7634320 M1.25  160.0  0.56234133  0.20731477    3.85   887.0    1   1.02101 0.20685 
 J11092379-7623207    K6  160.0   0.5128614  0.12998791  123.11   887.0    1  32.64838 0.15116 
 J11094260-7725578    M5  160.0  0.16982438  0.03396487    0.37   887.0    0   0.09812 0.04243 
 J11094621-7634463 M3.25  160.0  0.33884415 0.058556035    4.73   887.0    1   1.25438 0.20951 
 J11094742-7726290 M3.25  160.0  0.60255957  0.22214179  147.85   887.0    1  39.20936 0.22807 
 J11095336-7728365 M5.75  160.0 0.109647825 0.025264466    0.29   887.0    0   0.07691 0.04243 
 J11095340-7634255    K5  160.0   0.7585776  0.15730871   76.10   887.0    1  20.18148 0.48531 
 J11095407-7629253    M2  160.0  0.61659503   0.2344198   30.49   887.0    1   8.08585 0.32884 
 J11095873-7737088 M1.25  160.0   0.5128614  0.11817082   20.81   887.0    1   5.51875 0.15116 
 J11100010-7634578    K5  160.0   1.6218101   0.1868445 1363.47   887.0    1 361.58795 0.21746 
 J11100369-7633291    K8  160.0    0.724436  0.29211128    9.83   887.0    1   2.60689 0.20951 
 J11100469-7635452    M1  160.0   0.8317638   0.2970585    7.73   887.0    1   2.04997 0.20685 
 J11100704-7629376    M0  160.0    0.724436   0.1585747    7.17   887.0    1   1.90146 0.20685 
 J11100785-7727480  M5.5  160.0  0.12882496 0.029683169    0.49   887.0    1   0.12995 0.04243 
 J11101141-7635292  K5.5  160.0         1.0   0.3686636   73.82   887.0    1  19.57683 0.37128 
 J11103801-7732399    K3  160.0   1.1220185  0.23267666    5.37   887.0    1   1.42411 0.20685 
 J11104141-7720480    M6  160.0 0.109647825 0.025264466    0.00   887.0    0       0.0 0.04243 
 J11104959-7717517    M2  160.0   0.4168694  0.12486871   58.37   887.0    1  15.47954 0.38454 
 J11105333-7634319 M3.75  160.0  0.30902955  0.04984347   31.02   887.0    1   8.22641  0.3421 
 J11105359-7725004  M4.5  160.0  0.15488166  0.03211831    7.88   887.0    1   2.08975 0.09017 
 J11105597-7645325 M5.75  160.0  0.10471285 0.020942565    2.23   887.0    1   0.59139 0.05834 
 J11111083-7641574  M2.5  160.0  0.48977882  0.09795577   54.27   887.0    1  14.39223 0.46409 
 J11113965-7620152    M2  160.0   0.2570396 0.035535432   21.48   887.0    1   5.69643 0.21216 
 J11114632-7620092    K6  160.0   1.2302688  0.11338884   35.20   887.0    1   9.33493 0.33415 
 J11120351-7726009 M4.75  160.0  0.12882496 0.025230698    2.95   887.0    1   0.78233 0.04243 
 J11120984-7634366    M5  160.0   0.1659587  0.02294359    4.44   887.0    1   1.17747 0.05834 
 J11122441-7637064  K3.5  160.0   1.0964782  0.21929567    0.19   887.0    0   0.05039 0.20685 
 J11122772-7644223    G9  160.0   1.5848932  0.18259138   59.05   887.0    1  15.65987  0.3421 
 J11123092-7644241    M1  160.0  0.67608297  0.27261406   12.18   887.0    1    3.2301 0.22011 
 J11124268-7722230    G8  160.0   1.5848932  0.16433226   -0.02   887.0    0   -0.0053 0.20951 
 J11124861-7647066    M4  160.0  0.20417379 0.039987944   -0.10   887.0    0  -0.02652 0.04243 
 J11132446-7629227  M3.5  160.0  0.23988329  0.04145448    8.07   887.0    1   2.14014 0.20951 
 J11142454-7733062    M4  160.0  0.19498447 0.035941843    7.43   887.0    1   1.97041 0.09017 
 J11160287-7624533    K8  160.0  0.64565426  0.12913087   12.83   887.0    1   3.40248 0.44553 
 J11173700-7704381  M0.5  160.0  0.52480745   0.1330157   28.26   887.0    1   7.49446  0.3421 
 J11175211-7629392  M4.5  160.0  0.20417379 0.037635718   -0.31   887.0    0  -0.08221 0.04243 
 J11183572-7935548 M4.75  160.0  0.16982438  0.03396487   14.52   887.0    1   3.85066 0.09282 
 J11241186-7630425    M5  160.0  0.12589255   0.0290075    1.47   887.0    1   0.38984 0.04243 
 J11432669-7804454    M5  160.0  0.13803843  0.02226426    1.36   887.0    0   0.36067  0.1326 
