|             Name|  SpT|  Dist|     Mstar|    e_Mstar|  Flux|ObsWave| Det|    MDust|e_MDust|
|             char| char|double|     float|      float| float| double|long|   double| double|
|                 |     |      |          |           |   mJy|       |    |         |       |
|             null| null|  null|      null|       null|  null|   null|null|     null|   null|
 J15354856-2958551    M4  145.0  0.2630268 0.054544732   1.92   880.0    1   0.40986 0.03202 
 J15514032-2146103    M4  145.0 0.19952624 0.057467237   0.76   880.0    1   0.16223 0.03415 
 J15521088-2125372    M4  145.0 0.17782794 0.053266436  -0.10   880.0    0  -0.02135 0.03202 
 J15530132-2114135    M4  145.0 0.20892961 0.060175583   5.78   880.0    1   1.23384 0.02989 
 J15534211-2049282  M3.5  145.0 0.26915348 0.058916084   2.93   880.0    1   0.62546 0.06191 
 J15562477-2225552    M4  145.0 0.20892961 0.060175583   0.28   880.0    0   0.05977 0.03842 
 J15570641-2206060    M4  145.0 0.19054607  0.05927124   0.32   880.0    0   0.06831 0.04269 
 J15572986-2258438    M4  145.0 0.19952624 0.057467237  -0.04   880.0    0  -0.00854 0.04269 
 J15582981-2310077    M3  145.0  0.2570396  0.06810957   5.86   880.0    1   1.25092 0.03842 
 J15583692-2257153    G7  145.0  1.3803843  0.15903047 174.92   880.0    1  37.33963 0.05764 
 J16001730-2236504    M4  145.0 0.24547088  0.05938812   0.10   880.0    0   0.02135 0.03202 
 J16001844-2230114  M4.5  145.0 0.18620871 0.055776805   3.89   880.0    1   0.83039 0.03202 
 J16014086-2258103    M4  145.0 0.23442288  0.05941594   3.45   880.0    1   0.73646 0.02989 
 J16014157-2111380    M4  145.0 0.18620871  0.05792206   0.66   880.0    1   0.14089 0.02989 
 J16020757-2257467  M2.5  145.0 0.33884415  0.06636348   5.26   880.0    1   1.12284 0.05764 
 J16024152-2138245 M4.75  145.0 0.15488166  0.04460877  10.25   880.0    1   2.18804 0.04056 
 J16030161-2207523 M4.75  145.0 0.15135613 0.041849624   2.81   880.0    1   0.59984 0.02562 
 J16031329-2112569 M4.75  145.0 0.15848932  0.04747376   0.06   880.0    0   0.01281 0.02562 
 J16032225-2413111  M3.5  145.0  0.2630268  0.06363552   2.42   880.0    1   0.51659 0.03202 
 J16035767-2031055    K5  145.0  1.0471286  0.12063694   4.30   880.0    1   0.91791 0.08325 
 J16035793-1942108    M2  145.0 0.36307806  0.07529269   1.17   880.0    1   0.24976 0.02989 
 J16041740-1942287  M3.5  145.0 0.25118864  0.06366532   0.89   880.0    1   0.18999 0.02989 
 J16042165-2130284    K2  145.0        1.0  0.12672812 218.76   880.0    1  46.69802 0.17291 
 J16052556-2035397    M5  145.0 0.14791085  0.04089701   1.53   880.0    1    0.3266 0.04269 
 J16052661-1957050  M4.5  145.0 0.18620871 0.055776805   0.07   880.0    0   0.01494 0.03202 
 J16053215-1933159    M5  145.0 0.14125374 0.035801638   0.25   880.0    0   0.05337 0.04269 
 J16054540-2023088    M2  145.0 0.36307806  0.07529269   7.64   880.0    1   1.63089 0.03202 
 J16055863-1949029    M4  145.0 0.20892961 0.060175583  -0.08   880.0    0  -0.01708 0.03202 
 J16060061-1957114    M5  145.0 0.15848932 0.045647845   0.00   880.0    0       0.0 0.02775 
 J16062196-1928445    M0  145.0 0.56234133 0.058307283   4.08   880.0    1   0.87094   0.111 
 J16062277-2011243    M5  145.0 0.14791085  0.04089701   0.59   880.0    1   0.12595 0.02989 
 J16063539-2516510  M4.5  145.0 0.15848932 0.049299672   1.69   880.0    1   0.36076 0.03202 
 J16064102-2455489  M4.5  145.0 0.15848932  0.04747376   3.05   880.0    1   0.65107 0.02989 
 J16064115-2517044 M3.25  145.0 0.25118864   0.0665592   0.20   880.0    0   0.04269 0.03202 
 J16064385-1908056    K6  145.0  0.8912509  0.09241082   0.84   880.0    1   0.17931 0.03202 
 J16070014-2033092 M2.75  145.0 0.30902955  0.06764472   0.22   880.0    0   0.04696 0.03202 
 J16070211-2019387    M5  145.0 0.14454399  0.03830083  -0.09   880.0    0  -0.01921 0.04269 
 J16072625-2432079  M3.5  145.0  0.2630268  0.06363552  13.12   880.0    1   2.80069 0.05123 
 J16072747-2059442 M4.75  145.0 0.18620871 0.053631544   2.13   880.0    1   0.45468 0.02562 
 J16075796-2040087    M1  145.0  0.4466836 0.102922484  23.49   880.0    1   5.01434 0.02562 
 J16081566-2222199 M3.25  145.0  0.2818383 0.061692715   0.97   880.0    1   0.20706 0.02562 
 J16082324-1930009    K9  145.0 0.66069347 0.068505086  43.19   880.0    1   9.21963 0.17291 
 J16082751-1949047    M5  145.0   0.162181  0.04671112   0.76   880.0    1   0.16223 0.02775 
 J16083455-2211559  M4.5  145.0  0.1659587 0.049711134   0.01   880.0    0   0.00213 0.02562 
 J16084894-2400045 M3.75  145.0 0.21877615 0.060491104  -0.06   880.0    0  -0.01281 0.03202 
 J16090002-1908368    M5  145.0 0.15135613 0.041849624   1.73   880.0    1    0.3693 0.02775 
 J16090075-1908526    K9  145.0 0.64565426  0.07438414  47.28   880.0    1  10.09271 0.19425 
 J16093558-1828232    M3  145.0  0.2818383  0.06493971   0.69   880.0    1   0.14729 0.03202 
 J16095361-1754474    M3  145.0  0.2570396  0.06810957   0.87   880.0    1   0.18572 0.03415 
 J16095933-1800090    M4  145.0 0.22908677 0.060702715   0.67   880.0    1   0.14302 0.03842 
 J16101888-2502325  M4.5  145.0 0.16982438  0.05086905   0.30   880.0    0   0.06404 0.02989 
