|Name|   MDust|e_MDust|
| int|  double| double|
|    |        |       |
|null|    null|   null|
 1036 26.46079  0.6682 
 1050  -0.6682  0.6682 
 1075  6.59292  0.6682 
 1152 38.17659  0.7573 
 1153 60.67272 0.71275 
 1154  6.41474  0.6682 
 1155 -0.53456  0.6682 
 1156 25.21348  0.6682 
 1182  0.80184  0.6682 
 1193 -0.08909  0.6682 
 1230 -0.08909  0.6682 
 1248   3.5192  0.6682 
 1260 -0.53456  0.6682 
 1266  0.49001  0.6682 
 1267 10.11212  0.6682 
 1268  0.40092  0.6682 
 1274 68.51295 1.11367 
 1285 -0.04455  0.6682 
 1327  7.26113 0.71275 
 1338  0.13364  0.6682 
 1344  0.98003  0.6682 
 1361 23.78798  0.6682 
 1362  4.54377  0.6682 
 1369  6.23655  0.6682 
  247 -0.17819 0.57911 
  254  0.17819 0.57911 
  271  0.13364 0.57911 
  299  4.49922 0.62365 
  300 -1.11367 0.57911 
  327  0.44547 0.57911 
  341  5.30107 0.57911 
  362  2.49462 0.57911 
  374  0.53456 0.57911 
  396  0.44547 0.57911 
  397 -0.31183 0.62365 
  411 22.98614 0.57911 
  435   0.7573 0.57911 
  451  0.13364 0.57911 
  462  0.80184 0.57911 
  467  2.71735 0.57911 
  482  1.29186 0.62365 
  485  0.44547 0.57911 
  490  0.22273 0.62365 
  500  0.62365 0.57911 
  514   0.7573 0.57911 
  518  2.31643 0.57911 
  520  2.31643 0.62365 
  537  0.26728 0.57911 
  540 47.62051  0.7573 
  562  3.16282 0.57911 
  563  0.26728 0.57911 
  583  8.46389 0.57911 
  587  0.84639 0.57911 
  598 -0.84639 0.57911 
  646  0.35637 0.62365 
  657  0.40092 0.62365 
  662   6.8602 0.62365 
  663  0.08909 0.62365 
  674  0.04455 0.62365 
  682  1.82642 0.62365 
  687   0.6682 0.62365 
  694  2.71735 0.62365 
  697 -0.04455 0.62365 
  707 -0.35637 0.62365 
  710 -1.02458 0.62365 
  723  0.71275  0.6682 
  726  0.08909 0.62365 
   73  2.36098 0.57911 
  733 -1.20276 0.62365 
  736  2.00461 0.62365 
  738 -0.49001 0.62365 
  739  2.31643 0.62365 
  750 -0.26728  0.6682 
  754 -0.22273 0.62365 
  762 -0.26728 0.62365 
  774  3.38556 0.62365 
  818  8.77572  0.6682 
  823 -0.13364 0.62365 
  827 -0.22273 0.62365 
  844 12.69583 0.62365 
  848  2.31643 0.62365 
  859 11.09215 0.62365 
  865  0.80184 0.62365 
  866  0.44547  0.6682 
  871  0.53456 0.62365 
  897   7.6175 0.62365 
  908  0.40092  0.6682 
  927   6.2811  0.6682 
  936  0.40092  0.6682 
  959  0.17819  0.6682 
  967  0.93548 0.62365 
  984  27.0399  0.6682 
