|__HHM2007_|   R_as|R_pc|
|       int|   char|char|
|          |       |    |
|      null|   null|null|
       1036  622.19 1.17 
       1050  763.82 1.43 
       1075  845.91 1.58 
       1152 1399.68 2.62 
       1153  870.57 1.63 
       1154  841.13 1.57 
       1155  930.65 1.74 
       1156 1233.27 2.31 
       1182  897.14 1.68 
       1193 1122.24 2.10 
       1230 1215.86 2.27 
       1248 1278.78 2.39 
       1260 1040.83 1.95 
       1266 1157.63 2.17 
       1267 1243.76 2.33 
       1268 1045.16 1.96 
       1274 1224.06 2.29 
       1285 1081.16 2.02 
       1327 1445.78 2.70 
       1338 1195.92 2.24 
       1344 1244.68 2.33 
       1361 1268.82 2.37 
       1362 1425.63 2.67 
       1369 1563.50 2.92 
        247  809.34 1.52 
        254  757.40 1.42 
        271  727.83 1.36 
        299  884.08 1.66 
        300  873.44 1.64 
        327  588.29 1.10 
        341  662.30 1.24 
        362  547.20 1.03 
        374 1073.11 2.01 
        396  757.38 1.42 
        397  757.36 1.42 
        411 1285.24 2.40 
        435  497.76 0.93 
        451 1015.86 1.90 
        462  380.41 0.72 
        467 1146.81 2.15 
        482  328.87 0.62 
        485  703.27 1.32 
        490  966.23 1.81 
        500  494.90 0.93 
        514  315.93 0.59 
        518  609.10 1.14 
        520  264.70 0.50 
        537  802.93 1.50 
        540 1207.26 2.26 
        562  203.02 0.38 
        563  202.89 0.38 
        583  521.26 0.98 
        587  164.92 0.31 
        598  344.32 0.65 
        646  578.55 1.08 
        657  232.32 0.44 
        662  348.11 0.65 
        663  165.21 0.31 
        674  334.62 0.63 
        682   83.59 0.16 
        687   30.09 0.06 
        694   68.20 0.13 
        697  259.73 0.49 
        707   89.51 0.17 
        710  359.41 0.68 
        723   90.81 0.17 
        726   53.22 0.10 
         73 1329.50 2.49 
        733   92.04 0.18 
        736  528.22 0.99 
        738  429.41 0.81 
        739  483.88 0.91 
        750  725.67 1.36 
        754   99.98 0.19 
        762  412.16 0.77 
        774  652.69 1.22 
        818 1207.13 2.26 
        823  706.61 1.32 
        827  251.91 0.48 
        844 1081.64 2.02 
        848  263.39 0.50 
        859  425.80 0.80 
        865  687.22 1.29 
        866  993.98 1.86 
        871  458.40 0.86 
        897  396.70 0.75 
        908  461.14 0.87 
        927  496.73 0.93 
        936  438.31 0.82 
        959  964.44 1.81 
        967  468.03 0.88 
        984  595.54 1.12 
